,date,open,high,low,close,volume
0,2023-09-11 12:43:00+05:30,82.905,82.9075,82.9,82.9025,16295
1,2023-09-11 12:44:00+05:30,82.9025,82.9075,82.9025,82.9025,5929
2,2023-09-11 12:45:00+05:30,82.9,82.905,82.9,82.9025,1494
3,2023-09-11 12:46:00+05:30,82.9025,82.9075,82.9025,82.905,4362
4,2023-09-11 12:47:00+05:30,82.905,82.9075,82.895,82.895,11388
5,2023-09-11 12:48:00+05:30,82.895,82.905,82.895,82.905,3841
6,2023-09-11 12:49:00+05:30,82.905,82.905,82.8975,82.9025,3406
7,2023-09-11 12:50:00+05:30,82.9025,82.9025,82.8975,82.9,1054
8,2023-09-11 12:51:00+05:30,82.9,82.9025,82.8975,82.9,844
9,2023-09-11 12:52:00+05:30,82.9,82.9075,82.9,82.905,4745
10,2023-09-11 12:53:00+05:30,82.905,82.91,82.905,82.91,4470
11,2023-09-11 12:54:00+05:30,82.91,82.91,82.9,82.9075,1488
12,2023-09-11 12:55:00+05:30,82.9025,82.9075,82.9025,82.905,1002
13,2023-09-11 12:56:00+05:30,82.905,82.905,82.9025,82.905,57
14,2023-09-11 12:57:00+05:30,82.905,82.905,82.8975,82.9,2354
15,2023-09-11 12:58:00+05:30,82.9,82.9,82.8975,82.9,5868
16,2023-09-11 12:59:00+05:30,82.9,82.9025,82.8975,82.9025,2650
17,2023-09-11 13:00:00+05:30,82.9025,82.9075,82.9,82.9,2282
18,2023-09-11 13:01:00+05:30,82.9,82.9,82.8975,82.8975,542
19,2023-09-11 13:02:00+05:30,82.8975,82.9,82.895,82.8975,4137
20,2023-09-11 13:03:00+05:30,82.8975,82.9,82.8975,82.8975,2334
21,2023-09-11 13:04:00+05:30,82.8975,82.8975,82.895,82.895,2954
22,2023-09-11 13:05:00+05:30,82.895,82.9,82.895,82.8975,1157
23,2023-09-11 13:06:00+05:30,82.8975,82.9025,82.895,82.8975,4029
24,2023-09-11 13:07:00+05:30,82.8975,82.9075,82.8975,82.905,1428
25,2023-09-11 13:08:00+05:30,82.905,82.9125,82.905,82.91,2074
26,2023-09-11 13:09:00+05:30,82.91,82.9125,82.9075,82.91,1929
27,2023-09-11 13:10:00+05:30,82.91,82.915,82.91,82.915,1256
28,2023-09-11 13:11:00+05:30,82.915,82.9175,82.915,82.915,532
29,2023-09-11 13:12:00+05:30,82.915,82.9175,82.915,82.915,681
30,2023-09-11 13:13:00+05:30,82.915,82.915,82.91,82.9125,593
31,2023-09-11 13:14:00+05:30,82.9125,82.9175,82.9125,82.9175,4166
32,2023-09-11 13:15:00+05:30,82.9175,82.9225,82.9175,82.9225,2045
33,2023-09-11 13:16:00+05:30,82.9225,82.9225,82.92,82.9225,388
34,2023-09-11 13:17:00+05:30,82.9225,82.925,82.92,82.9225,2181
35,2023-09-11 13:18:00+05:30,82.9225,82.9275,82.9225,82.925,2888
36,2023-09-11 13:19:00+05:30,82.925,82.925,82.9175,82.9175,1679
37,2023-09-11 13:20:00+05:30,82.9175,82.925,82.9175,82.925,2009
38,2023-09-11 13:21:00+05:30,82.925,82.925,82.9225,82.9225,43
39,2023-09-11 13:22:00+05:30,82.9225,82.9225,82.9125,82.915,4516
40,2023-09-11 13:23:00+05:30,82.9175,82.925,82.915,82.925,4123
41,2023-09-11 13:24:00+05:30,82.925,82.925,82.9175,82.92,2075
42,2023-09-11 13:25:00+05:30,82.92,82.9225,82.9175,82.9225,891
43,2023-09-11 13:26:00+05:30,82.9225,82.9225,82.92,82.9225,200
44,2023-09-11 13:27:00+05:30,82.9225,82.925,82.92,82.9225,315
45,2023-09-11 13:28:00+05:30,82.9225,82.9225,82.92,82.9225,138
46,2023-09-11 13:29:00+05:30,82.9225,82.9275,82.9225,82.9275,2718
47,2023-09-11 13:30:00+05:30,82.9275,82.93,82.925,82.93,6722
48,2023-09-11 13:31:00+05:30,82.93,82.93,82.925,82.9275,8906
49,2023-09-11 13:32:00+05:30,82.9275,82.9275,82.925,82.9275,2894
50,2023-09-11 13:33:00+05:30,82.9275,82.9325,82.925,82.9325,2199
51,2023-09-11 13:34:00+05:30,82.9325,82.9325,82.925,82.9275,1945
52,2023-09-11 13:35:00+05:30,82.9275,82.93,82.925,82.9275,457
53,2023-09-11 13:36:00+05:30,82.9275,82.9275,82.92,82.925,8005
54,2023-09-11 13:37:00+05:30,82.925,82.925,82.92,82.925,2076
