,date,open,high,low,close,volume
0,2025-01-20 12:31:00+05:30,86.8025,86.8025,86.8025,86.8025,100
1,2025-01-20 12:32:00+05:30,86.8375,86.8375,86.8375,86.8375,4
2,2025-01-20 12:34:00+05:30,86.8375,86.8375,86.8375,86.8375,2
3,2025-01-20 12:37:00+05:30,86.8375,86.8375,86.8375,86.8375,0
4,2025-01-20 12:38:00+05:30,86.8375,86.8375,86.8375,86.8375,1
5,2025-01-20 12:40:00+05:30,86.8375,86.8375,86.8375,86.8375,0
6,2025-01-20 12:54:00+05:30,86.8375,86.8375,86.835,86.835,50
7,2025-01-20 12:56:00+05:30,86.835,86.835,86.835,86.835,96
8,2025-01-20 12:57:00+05:30,86.835,86.835,86.835,86.835,0
9,2025-01-20 13:02:00+05:30,86.835,86.835,86.835,86.835,0
10,2025-01-20 13:11:00+05:30,86.835,86.835,86.835,86.835,0
11,2025-01-20 13:12:00+05:30,86.84,86.84,86.84,86.84,257
12,2025-01-20 13:15:00+05:30,86.84,86.84,86.84,86.84,0
13,2025-01-20 13:16:00+05:30,86.84,86.84,86.84,86.84,0
14,2025-01-20 13:17:00+05:30,86.84,86.84,86.84,86.84,0
15,2025-01-20 13:18:00+05:30,86.84,86.84,86.84,86.84,0
16,2025-01-20 13:20:00+05:30,86.84,86.84,86.84,86.84,150
17,2025-01-20 13:21:00+05:30,86.84,86.84,86.84,86.84,40
18,2025-01-20 13:25:00+05:30,86.84,86.84,86.84,86.84,0
19,2025-01-20 13:27:00+05:30,86.84,86.84,86.84,86.84,0
20,2025-01-20 13:28:00+05:30,86.84,86.84,86.84,86.84,60
21,2025-01-20 13:31:00+05:30,86.84,86.84,86.84,86.84,0
22,2025-01-20 13:37:00+05:30,86.84,86.84,86.84,86.84,0
23,2025-01-20 13:44:00+05:30,86.84,86.84,86.84,86.84,0
24,2025-01-20 13:45:00+05:30,86.84,86.84,86.84,86.84,0
25,2025-01-20 13:51:00+05:30,86.84,86.84,86.84,86.84,0
26,2025-01-20 13:52:00+05:30,86.84,86.84,86.83,86.83,1
27,2025-01-20 13:54:00+05:30,86.83,86.83,86.83,86.83,0
28,2025-01-20 13:57:00+05:30,86.83,86.83,86.83,86.83,0
29,2025-01-20 13:58:00+05:30,86.83,86.83,86.83,86.83,0
30,2025-01-20 13:59:00+05:30,86.83,86.83,86.83,86.83,500
31,2025-01-20 14:00:00+05:30,86.83,86.83,86.83,86.83,0
32,2025-01-20 14:01:00+05:30,86.83,86.83,86.83,86.83,0
33,2025-01-20 14:05:00+05:30,86.83,86.83,86.83,86.83,0
34,2025-01-20 14:06:00+05:30,86.83,86.83,86.83,86.83,3000
35,2025-01-20 14:08:00+05:30,86.83,86.83,86.83,86.83,0
36,2025-01-20 14:10:00+05:30,86.83,86.83,86.83,86.83,0
37,2025-01-20 14:11:00+05:30,86.83,86.83,86.83,86.83,0
38,2025-01-20 14:17:00+05:30,86.83,86.83,86.83,86.83,0
39,2025-01-20 14:18:00+05:30,86.83,86.83,86.83,86.83,0
40,2025-01-20 14:22:00+05:30,86.83,86.83,86.83,86.83,0
41,2025-01-20 14:23:00+05:30,86.83,86.83,86.83,86.83,0
42,2025-01-20 14:29:00+05:30,86.83,86.83,86.83,86.83,12
43,2025-01-20 14:31:00+05:30,86.83,86.83,86.83,86.83,0
44,2025-01-20 14:34:00+05:30,86.83,86.83,86.83,86.83,0
45,2025-01-20 14:35:00+05:30,86.83,86.83,86.83,86.83,0
46,2025-01-20 14:41:00+05:30,86.83,86.83,86.83,86.83,0
47,2025-01-20 14:42:00+05:30,86.83,86.83,86.83,86.83,0
